"mz_10eV","10 ev","mz_25eV","25 ev","mz_40eV","40 ev"
"900.6505","2.000e1","441.0236","2.100e1","648.3185","2.400e1"
"901.4994","2.100e1","441.0913","3.400e1","663.3390","2.900e1"
"902.6313","2.500e1","441.2167","6.082e1","675.4599","3.000e1"
"903.5660","4.900e1","441.2680","9.334e0","678.2939","2.100e1"
"908.3514","2.200e1","441.2776","6.409e1","683.2725","2.500e1"
"909.1482","2.000e1","441.2976","5.800e1","689.5111","3.900e1"
"913.4819","4.800e1","441.9207","6.300e1","692.4537","2.900e1"
"913.9537","2.800e1","442.0847","2.700e1","698.2731","2.500e1"
"917.4077","2.100e1","442.1734","2.153e1","704.0752","2.400e1"
"923.2137","2.400e1","442.1995","1.754e1","720.0859","2.400e1"
"924.7520","2.100e1","442.2423","9.063e1","724.8875","2.400e1"
"927.2181","2.200e1","442.2863","7.684e1","742.6934","2.300e1"
"928.5507","2.200e1","442.7379","2.400e1","750.0598","3.000e1"
"930.1876","7.400e1","442.7843","2.600e1","770.5786","3.400e1"
"941.4501","2.300e1","442.9422","3.100e1","795.1524","2.600e1"
"941.4855","2.000e1","443.0125","2.000e1","834.0086","2.200e1"
"941.8531","2.100e1","443.0721","6.300e1","891.9844","2.200e1"
"943.4509","2.500e1","443.1023","4.300e1","919.4258","2.300e1"
"944.5360","2.200e1","443.2161","3.615e1","930.7991","2.300e1"
"960.2508","4.100e1","443.8029","2.100e1","950.4211","2.200e1"
"979.6242","3.900e1","443.8919","3.400e1","962.1546","2.200e1"
"982.0989","7.400e1","444.1244","2.100e1","975.0415","2.200e1"
"998.5721","2.100e1","444.1451","4.286e1","1002.0569","5.200e1"
"1004.5505","4.100e1","444.2123","7.188e3","1013.3428","3.600e1"
"1008.3979","2.100e1","444.2952","2.800e1","1107.3937","2.400e1"
"1034.2760","2.100e1","444.3314","4.200e1","1143.8452","2.900e1"
"1049.3453","2.700e1","444.4338","5.800e1","1149.2517","2.000e1"
"1050.9545","2.200e1","444.7376","3.200e1","",""
"1053.8231","3.600e1","444.9241","2.800e1","",""
"1056.7017","2.500e1","445.0684","2.200e1","",""
"1064.8662","2.900e1","445.2182","2.457e3","",""
"1066.0012","2.700e1","445.3942","5.600e1","",""
"1069.8551","7.300e1","445.6721","2.200e1","",""
"1072.2034","2.100e1","445.7239","9.000e1","",""
"1073.5671","2.700e1","446.2127","4.434e2","",""
"1074.1248","4.000e1","446.6719","1.470e2","",""
"1077.7924","2.100e1","447.0293","2.200e1","",""
"1081.3707","6.000e1","447.0722","2.400e1","",""
"1083.5554","2.700e1","447.1454","2.900e1","",""
"1099.9899","2.800e1","447.1881","1.849e1","",""
"1111.1628","2.000e1","447.2313","1.132e2","",""
"1112.5526","2.100e1","447.2741","1.492e1","",""
"1113.7332","2.400e1","447.2793","2.099e0","",""
"1117.6639","8.100e1","447.5962","2.100e1","",""
"1125.0272","3.000e1","447.7389","9.500e1","",""
"1125.9158","3.200e1","448.0268","8.600e1","",""
"1129.5242","2.200e1","448.1324","2.900e1","",""
"1130.3903","3.600e1","448.1959","1.148e2","",""
"1130.6388","2.400e1","448.2560","7.317e1","",""
"1133.2311","2.600e1","448.7922","2.100e1","",""
"1136.6788","6.800e1","448.9409","2.100e1","",""
"1137.5361","2.200e1","449.1478","2.500e1","",""
"1140.0635","4.900e1","449.1872","1.224e1","",""
"1145.6365","3.800e1","449.2037","4.454e1","",""
"1147.1249","2.800e1","449.2234","5.085e1","",""
"1155.8021","2.200e1","449.2501","2.986e1","",""
"1155.9908","5.400e1","449.2868","1.871e1","",""
"1156.7721","2.800e1","449.3223","3.900e1","",""
"1161.2352","2.400e1","449.5517","2.100e1","",""
"1180.8644","2.600e1","449.6389","2.400e1","",""
"1189.0072","2.300e1","450.1418","4.400e1","",""
